country,year,pop,continent,lifeExp,gdpPercap,co2Percap,regime
Armenia,1997,3246289,Asia,71.4,4264.3424,1.238,2. Electoral autocracy
Armenia,2002,3055630,Asia,72.8,5964.33327,1.412,2. Electoral autocracy
Armenia,2007,2974819,Asia,73.3,10980.46168,3.402,2. Electoral autocracy
Armenia,2012,2922528,Asia,74.6,11796.27412,2.227,2. Electoral autocracy
Armenia,2017,2914963,Asia,76.4,14243.8749,2.02,2. Electoral autocracy
Armenia,2022,2880874,Asia,77.6,17886.17839,2.7,3. Electoral democracy
Australia,1952,8630704,Oceania,69.4,14640.60515,7.011,4. Liberal democracy
Australia,1957,9638775,Oceania,70.6,15640.62017,7.78,4. Liberal democracy
Australia,1962,10707236,Oceania,71.2,17004.21457,8.916,4. Liberal democracy
Australia,1967,11810519,Oceania,71.1,19592.00639,10.812,4. Liberal democracy
Australia,1972,13304896,Oceania,71.7,21998.01538,11.352,4. Liberal democracy
Australia,1977,14203508,Oceania,73.1,23020.05156,11.47,4. Liberal democracy
Australia,1982,15192485,Oceania,74.7,26227.51997,13.307,4. Liberal democracy
Australia,1987,16322269,Oceania,76,31944.80359,12.868,4. Liberal democracy
Australia,1992,17549288,Oceania,77.4,35729.37179,14.036,4. Liberal democracy
Australia,1997,18504912,Oceania,78.6,41271.92453,14.873,4. Liberal democracy
Australia,2002,19595355,Oceania,80.1,47144.6969,16.216,4. Liberal democracy
Australia,2007,20954549,Oceania,81.4,51853.37495,17.581,4. Liberal democracy
Australia,2012,22852644,Oceania,82.4,54237.59191,17.584,4. Liberal democracy
Australia,2017,24731038,Oceania,83.1,56684.64733,15.285,4. Liberal democracy
Australia,2022,26200984,Oceania,83.1,59883.64704,13.935,4. Liberal democracy
Austria,1952,6927252,Europe,66.7,8193.12602,3.188,3. Electoral democracy
Austria,1957,6965834,Europe,67.8,11561.04791,4.182,4. Liberal democracy
Austria,1962,7129579,Europe,69.5,13866.40987,4.737,4. Liberal democracy
Austria,1967,7376289,Europe,70,16331.50038,5.478,4. Liberal democracy
Austria,1972,7543259,Europe,70.6,20910.73471,8.457,4. Liberal democracy
Austria,1977,7567336,Europe,72,24428.34303,10.558,4. Liberal democracy
Austria,1982,7573078,Europe,73.1,28747.97219,12.156,4. Liberal democracy
Austria,1987,7574315,Europe,75,34728.93932,11.666,4. Liberal democracy
Austria,1992,7842712,Europe,76.1,42786.2777,11.806,4. Liberal democracy
Austria,1997,7969803,Europe,77.4,47249.87352,11.84,4. Liberal democracy
Austria,2002,8081636,Europe,78.8,53809.15485,11.696,4. Liberal democracy
Austria,2007,8296952,Europe,80,60240.1574,12.661,4. Liberal democracy
Austria,2012,8431601,Europe,80.8,61451.5491,11.754,4. Liberal democracy
Austria,2017,8798778,Europe,81.6,62612.13993,10.401,4. Liberal democracy
Austria,2022,9064677,Europe,81.5,65661.45219,9.2,4. Liberal democracy
Azerbaijan,1952,3247001,Asia,47.3,4309.47957,4.336,1. Closed autocracy
Azerbaijan,1957,3646868,Asia,49,5390.7684,5.897,1. Closed autocracy
Azerbaijan,1962,4239407,Asia,53.3,6401.32006,5.351,1. Closed autocracy
Azerbaijan,1967,4867301,Asia,58.5,7848.62724,6.094,1. Closed autocracy
Azerbaijan,1972,5380917,Asia,61.3,9120.76487,6.072,1. Closed autocracy
Azerbaijan,1977,5937641,Asia,62.8,9962.48138,4.659,1. Closed autocracy
Azerbaijan,1982,6491435,Asia,65.2,11020.8867,3.78,1. Closed autocracy
Azerbaijan,1987,6977658,Asia,65.5,12738.3,3.929,1. Closed autocracy
Azerbaijan,1992,7405780,Asia,64.5,7913.26922,1.68,2. Electoral autocracy
Azerbaijan,1997,7936221,Asia,66.6,4434.00156,3.177,2. Electoral autocracy
Azerbaijan,2002,8326133,Asia,69.3,6679.78178,3.68,2. Electoral autocracy
Azerbaijan,2007,8828311,Asia,70.6,16603.11847,3.453,2. Electoral autocracy
Azerbaijan,2012,9376181,Asia,71.7,19523.37371,3.752,2. Electoral autocracy
Azerbaijan,2017,9968510,Asia,72.7,19659.00485,3.394,2. Electoral autocracy
Azerbaijan,2022,10295304,Asia,73.1,21051.24424,3.842,2. Electoral autocracy
Bahamas,1952,86163,Americas,60.9,14515.56074,0.946,NA
Bahamas,1957,101537,Americas,63,17209.44532,1.841,NA
Bahamas,1962,128493,Americas,63.2,21006.5085,5.996,NA
Bahamas,1967,162267,Americas,65,26704.23956,11.154,NA
Bahamas,1972,196055,Americas,67.1,24571.07015,36.47,NA
Bahamas,1977,219157,Americas,67.7,18625.43327,49.298,NA
Bahamas,1982,240614,Americas,68.8,27033.67651,10.266,NA
Bahamas,1987,261935,Americas,71.1,32809.88034,5.849,NA
Bahamas,1992,285927,Americas,70.8,31146.42027,6.961,NA
Bahamas,1997,310904,Americas,71.4,32226.31104,5.321,NA
Bahamas,2002,331614,Americas,71.4,36572.30382,6.269,NA
Bahamas,2007,353334,Americas,72.4,36111.97019,5.326,NA
Bahamas,2012,375469,Americas,72.8,33667.49761,5.245,NA
Bahamas,2017,390485,Americas,72.9,33049.8728,4.718,NA
Bahamas,2022,397538,Americas,71.5,34342.79041,4.75,NA
Bahrain,1952,124448,Asia,50.2,5806.42126,2.815,1. Closed autocracy
Bahrain,1957,147147,Asia,53.6,7395.87264,3.761,1. Closed autocracy
Bahrain,1962,179349,Asia,57.1,8756.57756,4.78,1. Closed autocracy
Bahrain,1967,214189,Asia,60.6,10978.08919,6.111,1. Closed autocracy
Bahrain,1972,242113,Asia,64.1,14256.46868,7.794,1. Closed autocracy
Bahrain,1977,312823,Asia,67.2,17767.33903,10.922,1. Closed autocracy
Bahrain,1982,386983,Asia,69,20377.63053,13.506,1. Closed autocracy
Bahrain,1987,462854,Asia,69.7,23158.10488,19.002,1. Closed autocracy
Bahrain,1992,547749,Asia,70.2,33371.12659,20.602,1. Closed autocracy
Bahrain,1997,624005,Asia,70.6,43775.31912,21.788,1. Closed autocracy
Bahrain,2002,752197,Asia,71.8,50570.68669,14.564,1. Closed autocracy
Bahrain,2007,1057405,Asia,73.6,52029.9827,10.74,1. Closed autocracy
Bahrain,2012,1216303,Asia,75.5,54516.84066,10.049,1. Closed autocracy
Bahrain,2017,1481995,Asia,76.7,53859.77496,13.038,1. Closed autocracy
Bahrain,2022,1533459,Asia,77,57572.99798,16.037,1. Closed autocracy
Bangladesh,1952,42893011,Asia,43.8,1211.28926,0.033,1. Closed autocracy
Bangladesh,1957,48004669,Asia,46.1,1189.33833,0.038,1. Closed autocracy
Bangladesh,1962,54881146,Asia,47,1249.0481,0.05,1. Closed autocracy
Bangladesh,1967,63510929,Asia,44.3,1252.01908,0.058,1. Closed autocracy
Bangladesh,1972,71641519,Asia,49.1,1091.25542,0.056,1. Closed autocracy
Bangladesh,1977,81867264,Asia,51.3,1155.93461,0.095,1. Closed autocracy
Bangladesh,1982,92814507,Asia,53.3,1325.03737,0.123,1. Closed autocracy
Bangladesh,1987,104959291,Asia,55.4,1610.52954,0.156,2. Electoral autocracy
Bangladesh,1992,115952192,Asia,58.3,1948.11327,0.185,3. Electoral democracy
Bangladesh,1997,127198069,Asia,61.8,2315.05622,0.237,3. Electoral democracy
Bangladesh,2002,138933658,Asia,64.6,2775.91996,0.228,2. Electoral autocracy
Bangladesh,2007,147989278,Asia,67,3576.82402,0.291,1. Closed autocracy
Bangladesh,2012,155070101,Asia,69,4592.04841,0.4,2. Electoral autocracy
Bangladesh,2017,162186147,Asia,70.3,6005.70719,0.745,2. Electoral autocracy
Bangladesh,2022,169384897,Asia,70.9,7888.16389,0.844,2. Electoral autocracy
Barbados,1952,216506,Americas,57.6,4510.29363,0.401,1. Closed autocracy
Barbados,1957,225794,Americas,62.6,5547.54704,0.592,2. Electoral autocracy
Barbados,1962,235224,Americas,66.8,6896.75742,1.119,3. Electoral democracy
Barbados,1967,247091,Americas,68.6,8397.54333,1.426,3. Electoral democracy
Barbados,1972,249658,Americas,69.6,11268.80483,2.08,3. Electoral democracy
Barbados,1977,251626,Americas,71.3,11176.55989,2.372,3. Electoral democracy
Barbados,1982,253095,Americas,73.3,12820.32607,2.54,3. Electoral democracy
Barbados,1987,257279,Americas,74.1,15489.59304,3.653,3. Electoral democracy
Barbados,1992,260267,Americas,74,15279.617,3.712,3. Electoral democracy
Barbados,1997,262392,Americas,74.4,17105.08605,3.325,3. Electoral democracy
Barbados,2002,264148,Americas,75.7,18119.64226,4.391,3. Electoral democracy
Barbados,2007,271288,Americas,76.3,20728.77509,4.894,3. Electoral democracy
Barbados,2012,276938,Americas,77.4,18936.08881,5.149,3. Electoral democracy
Barbados,2017,280171,Americas,77.3,18740.34883,4.439,4. Liberal democracy
Barbados,2022,282318,Americas,75.6,18469.57659,4.522,4. Liberal democracy
Belarus,1952,7264607,Europe,68.6,4998.83668,2.686,1. Closed autocracy
Belarus,1957,7811335,Europe,69.4,5979.91288,4.115,1. Closed autocracy
Belarus,1962,8424480,Europe,70.9,6778.85332,5.92,1. Closed autocracy
Belarus,1967,8823254,Europe,72.4,8153.63688,7.463,1. Closed autocracy
Belarus,1972,9144633,Europe,72.1,9359.14536,7.925,1. Closed autocracy
Belarus,1977,9434943,Europe,71.4,10701.65025,6.426,1. Closed autocracy
Belarus,1982,9748282,Europe,71,11993.30796,5.468,1. Closed autocracy
Belarus,1987,10057605,Europe,71.8,13059.02332,5.951,1. Closed autocracy
Belarus,1992,10217561,Europe,70,11552.94871,4.27,3. Electoral democracy
Belarus,1997,10122364,Europe,68.4,9518.13599,4.303,2. Electoral autocracy
Belarus,2002,9873450,Europe,68.2,12526.02397,3.843,2. Electoral autocracy
Belarus,2007,9563133,Europe,70.1,20011.91277,4.994,2. Electoral autocracy
Belarus,2012,9463076,Europe,72,25879.13194,6.524,2. Electoral autocracy
Belarus,2017,9495790,Europe,74.4,25503.98099,6.122,2. Electoral autocracy
Belarus,2022,9173237,Europe,73.8,26537.50831,6.322,2. Electoral autocracy
Belgium,1952,8696639,Europe,68.8,11467.43997,9.573,4. Liberal democracy
Belgium,1957,8931860,Europe,69.5,12850.51355,10.734,4. Liberal democracy
Belgium,1962,9217669,Europe,70.3,14710.366,10.57,4. Liberal democracy
Belgium,1967,9505919,Europe,70.7,17207.50348,11.448,4. Liberal democracy
Belgium,1972,9694853,Europe,71.4,21413.96738,15.541,4. Liberal democracy
Belgium,1977,9774014,Europe,72.6,24031.13815,18.892,4. Liberal democracy
Belgium,1982,9862327,Europe,73.7,28258.56039,18.067,4. Liberal democracy
Belgium,1987,9899147,Europe,75.4,33481.60781,14.894,4. Liberal democracy
Belgium,1992,10045987,Europe,76.4,41370.09007,17.12,4. Liberal democracy
Belgium,1997,10181464,Europe,77.4,45411.82304,16.595,4. Liberal democracy
Belgium,2002,10332973,Europe,78.3,50830.50141,18.577,4. Liberal democracy
Belgium,2007,10625493,Europe,79.6,56730.34608,21.975,4. Liberal democracy
Belgium,2012,11107518,Europe,80.3,56381.68884,18.919,4. Liberal democracy
Belgium,2017,11376581,Europe,81.3,58555.15248,17.546,4. Liberal democracy
Belgium,2022,11641820,Europe,81.6,62744.203,16.928,4. Liberal democracy
Belize,1952,73344,Americas,59.1,2627.57494,0.35,NA
Belize,1957,84342,Americas,61.2,2760.3691,0.347,NA
Belize,1962,96042,Americas,64.3,2918.24245,0.715,NA
Belize,1967,111272,Americas,66.5,3208.2861,1.074,NA
Belize,1972,124676,Americas,68.6,3800.25162,1.24,NA
Belize,1977,135887,Americas,69.8,3853.00324,1.445,NA
Belize,1982,152548,Americas,71.6,4205.09366,1.138,NA
Belize,1987,171338,Americas,72.9,5508.5153,1.304,NA
Belize,1992,190983,Americas,73.5,9483.40524,1.83,NA
Belize,1997,217446,Americas,71.7,9506.54304,1.754,NA
Belize,2002,256009,Americas,71.3,11548.02347,1.649,NA
Belize,2007,296100,Americas,73,12847.1043,1.594,NA
Belize,2012,334414,Americas,74.1,11761.56391,1.41,NA
Belize,2017,373202,Americas,74.2,11574.45245,1.509,NA
Belize,2022,402733,Americas,73.8,12569.81794,1.516,NA
Benin,1952,2285775,Africa,43.2,1952.27271,0.041,1. Closed autocracy
Benin,1957,2410770,Africa,44,1714.51727,0.049,1. Closed autocracy
Benin,1962,2604659,Africa,45.1,1654.45246,0.054,2. Electoral autocracy
Benin,1967,2872997,Africa,46.8,1781.26343,0.053,1. Closed autocracy
Benin,1972,3207543,Africa,48.1,1907.7465,0.154,1. Closed autocracy
Benin,1977,3623202,Africa,49.6,1803.12229,0.141,1. Closed autocracy
Benin,1982,4156596,Africa,51.2,2137.92676,0.156,1. Closed autocracy
Benin,1987,4818486,Africa,52.9,2103.46995,0.215,1. Closed autocracy
Benin,1992,5617844,Africa,55.1,2267.92908,0.189,3. Electoral democracy
Benin,1997,6583365,Africa,57,2417.12064,0.296,3. Electoral democracy
Benin,2002,7675426,Africa,59.2,2624.71693,0.445,3. Electoral democracy
Benin,2007,8953969,Africa,61.7,2720.93466,0.732,3. Electoral democracy
Benin,2012,10397657,Africa,62.6,2779.72648,0.727,3. Electoral democracy
Benin,2017,12039780,Africa,64.1,3041.7793,0.66,3. Electoral democracy
Benin,2022,13759501,Africa,65.9,3588.3252,0.71,2. Electoral autocracy
Bhutan,1952,179380,Asia,37.4,1093.29083,0.006,1. Closed autocracy
Bhutan,1957,205901,Asia,39.3,1129.64913,0.007,1. Closed autocracy
Bhutan,1962,237636,Asia,41.4,1176.81758,0.009,1. Closed autocracy
Bhutan,1967,278852,Asia,44,1243.30231,0.011,1. Closed autocracy
Bhutan,1972,330264,Asia,46.7,1237.09592,0.012,1. Closed autocracy
Bhutan,1977,391639,Asia,49.4,1244.44752,0.02,1. Closed autocracy
Bhutan,1982,462485,Asia,53,1616.01333,0.077,1. Closed autocracy
Bhutan,1987,540557,Asia,57.4,2521.06454,0.208,1. Closed autocracy
Bhutan,1992,577774,Asia,60.2,3524.84225,0.385,1. Closed autocracy
Bhutan,1997,558697,Asia,62.3,4626.78748,0.683,1. Closed autocracy
Bhutan,2002,624409,Asia,65,5904.19659,0.653,1. Closed autocracy
Bhutan,2007,678641,Asia,67.6,8164.68035,0.56,1. Closed autocracy
Bhutan,2012,717279,Asia,70.1,11143.94454,1.102,4. Liberal democracy
Bhutan,2017,754335,Asia,71.7,13482.34253,1.581,3. Electoral democracy
Bhutan,2022,780914,Asia,72.4,14061.31203,1.802,4. Liberal democracy
Bolivia,1952,3187537,Americas,37.1,4359.10287,0.162,2. Electoral autocracy
Bolivia,1957,3487569,Americas,41.4,3499.34681,0.291,2. Electoral autocracy
Bolivia,1962,3857493,Americas,44.6,3600.12238,0.289,2. Electoral autocracy
Bolivia,1967,4292572,Americas,48.3,4317.20377,0.458,2. Electoral autocracy
Bolivia,1972,4800978,Americas,52,4441.26987,0.907,1. Closed autocracy
Bolivia,1977,5379166,Americas,55.5,5124.71969,1.357,1. Closed autocracy
Bolivia,1982,6018088,Americas,58.9,4691.90921,1.451,1. Closed autocracy
Bolivia,1987,6692162,Americas,61.8,4395.72069,1.031,3. Electoral democracy
Bolivia,1992,7430336,Americas,63.5,5138.02442,1.384,3. Electoral democracy
Bolivia,1997,8167900,Americas,65.8,5885.07522,1.31,3. Electoral democracy
Bolivia,2002,8900355,Americas,67.3,6122.5081,1.013,3. Electoral democracy
Bolivia,2007,9685960,Americas,68.5,6937.27474,1.174,3. Electoral democracy
Bolivia,2012,10515807,Americas,69.8,8108.20519,1.544,3. Electoral democracy
Bolivia,2017,11344587,Americas,71.1,9642.81396,2.055,3. Electoral democracy
Bolivia,2022,12077154,Americas,70.6,9681.70743,1.988,3. Electoral democracy
Bosnia and Herzegovina,1952,2774682,Europe,53.9,2065.374,0.913,1. Closed autocracy
Bosnia and Herzegovina,1957,3079937,Europe,59.3,2218.8413,1.299,1. Closed autocracy
Bosnia and Herzegovina,1962,3407532,Europe,63,2641.54288,1.685,1. Closed autocracy
Bosnia and Herzegovina,1967,3656223,Europe,65.3,3152.23135,2.019,1. Closed autocracy
Bosnia and Herzegovina,1972,3848271,Europe,66.8,3625.91324,2.787,1. Closed autocracy
Bosnia and Herzegovina,1977,4042124,Europe,68.8,4037.25319,3.318,1. Closed autocracy
Bosnia and Herzegovina,1982,4221100,Europe,69.9,4494.87566,3.776,1. Closed autocracy
Bosnia and Herzegovina,1987,4390246,Europe,71.8,4158.10071,4.246,1. Closed autocracy
Bosnia and Herzegovina,1992,4234616,Europe,59.1,2686.91091,3.552,1. Closed autocracy
Bosnia and Herzegovina,1997,4018227,Europe,74.3,6330.23353,2.241,3. Electoral democracy
Bosnia and Herzegovina,2002,4188002,Europe,75.1,8523.8492,3.773,3. Electoral democracy
Bosnia and Herzegovina,2007,4013424,Europe,75.6,11199.55834,4.648,3. Electoral democracy
Bosnia and Herzegovina,2012,3670113,Europe,76.5,12622.73391,6.146,3. Electoral democracy
Bosnia and Herzegovina,2017,3428682,Europe,77,15554.06001,6.504,3. Electoral democracy
Bosnia and Herzegovina,2022,3204802,Europe,76.6,19297.07149,6.452,3. Electoral democracy
Botswana,1952,433711,Africa,46.5,671.63183,0.021,1. Closed autocracy
Botswana,1957,483788,Africa,47.5,724.292,0.025,1. Closed autocracy
Botswana,1962,540186,Africa,48.7,795.08488,0.029,1. Closed autocracy
Botswana,1967,580933,Africa,50.3,990.07246,0.034,3. Electoral democracy
Botswana,1972,622407,Africa,53.2,1851.42893,0.04,3. Electoral democracy
Botswana,1977,799574,Africa,56.7,2646.4929,1.582,3. Electoral democracy
Botswana,1982,1009269,Africa,60.2,4276.49412,1.888,3. Electoral democracy
Botswana,1987,1199167,Africa,63.6,6466.24977,1.673,3. Electoral democracy
Botswana,1992,1380033,Africa,63.3,10027.58978,1.944,3. Electoral democracy
Botswana,1997,1571691,Africa,55.1,11911.13165,1.719,3. Electoral democracy
Botswana,2002,1744763,Africa,48.2,13235.91825,2.454,4. Liberal democracy
Botswana,2007,1911201,Africa,63.7,15834.79471,1.455,4. Liberal democracy
Botswana,2012,2108617,Africa,66.9,14957.61891,5.713,4. Liberal democracy
Botswana,2017,2266747,Africa,68.8,17352.89584,4.937,4. Liberal democracy
Botswana,2022,2439892,Africa,69.3,18647.37346,5.104,3. Electoral democracy
Brazil,1952,56694872,Americas,53.9,3021.91739,0.436,2. Electoral autocracy
Brazil,1957,66031492,Americas,56.3,3490.77292,0.544,2. Electoral autocracy
Brazil,1962,76865323,Americas,58.2,4492.347,0.702,2. Electoral autocracy
Brazil,1967,88446124,Americas,60.1,4662.53072,0.756,2. Electoral autocracy
Brazil,1972,100146797,Americas,62.6,6608.21131,1.217,2. Electoral autocracy
Brazil,1977,112875292,Americas,64.7,8634.58898,1.732,2. Electoral autocracy
Brazil,1982,126923155,Americas,67.8,9755.22173,1.542,2. Electoral autocracy
Brazil,1987,141104944,Americas,68.5,11862.693,1.597,3. Electoral democracy
Brazil,1992,154275079,Americas,70.3,11770.46976,1.621,3. Electoral democracy
